CountryName,CountryCode,child,gdp,gdp_bil
Tuvalu,TUV,29.7,"39,875,708.12",0.039875708
Kiribati,KIR,59.9,"174,984,468.83",0.174984469
Marshall Islands,MHL,37.9,"182,400,000.00",0.1824
Palau,PLW,20.8,"228,415,735.26",0.228415735
Sao Tome and Principe,STP,53.2,"263,398,378.00",0.263398378
"Micronesia, Fed. Sts.",FSM,38.5,"326,160,960.78",0.326160961
Tonga,TON,12.8,"471,575,497.31",0.471575497
Dominica,DMA,12.6,"479,688,888.89",0.479688889
Comoros,COM,77.6,"595,900,353.49",0.595900353
Samoa,WSM,17.8,"683,719,606.27",0.683719606
St. Vincent and the Grenadines,VCT,23.4,"712,588,888.89",0.712588889
Grenada,GRD,13.5,"766,510,727.20",0.766510727
St. Kitts and Nevis,KNA,9.2,"767,000,000.00",0.767
Vanuatu,VUT,17.9,"787,073,459.02",0.787073459
Guinea-Bissau,GNB,129.1,"822,321,032.41",0.822321032
"Gambia, The",GMB,72.9,"907,430,835.28",0.907430835
Solomon Islands,SLB,31.1,"1,008,424,232.18",1.008424232
Seychelles,SYC,13.1,"1,128,753,720.63",1.128753721
Antigua and Barbuda,ATG,9.9,"1,134,159,259.26",1.134159259
St. Lucia,LCA,17.5,"1,238,640,740.74",1.238640741
Timor-Leste,TLS,56.7,"1,293,000,000.00",1.293
Liberia,LBR,74.8,"1,733,823,552.71",1.733823553
Bhutan,BTN,44.6,"1,779,561,112.29",1.779561112
Cabo Verde,CPV,22.2,"1,827,021,561.65",1.827021562
Central African Republic,CAF,128.6,"2,184,181,390.99",2.184181391
Maldives,MDV,10.5,"2,222,429,330.40",2.22242933
Lesotho,LSO,99.6,"2,447,573,299.48",2.447573299
Burundi,BDI,104.3,"2,472,384,864.13",2.472384864
Guyana,GUY,35.2,"2,850,572,407.05",2.850572407
Eritrea,ERI,51.8,"3,091,837,398.37",3.091837398
Swaziland,SWZ,79.7,"3,744,472,287.07",3.744472287
Sierra Leone,SLE,181.6,"3,796,030,045.14",3.796030045
Togo,TGO,95.5,"3,813,834,650.20",3.81383465
Fiji,FJI,22.4,"3,907,563,304.51",3.907563305
Mauritania,MRT,84,"4,199,051,817.06",4.199051817
Barbados,BRB,18.4,"4,224,850,000.00",4.22485
Malawi,MWI,71,"4,263,794,983.90",4.263794984
Montenegro,MNE,5.9,"4,373,170,811.73",4.373170812
Suriname,SUR,20.8,"5,012,121,214.25",5.012121214
Guinea,GIN,101.2,"5,631,621,297.89",5.631621298
Kyrgyz Republic,KGZ,26.6,"6,474,843,799.06",6.474843799
Niger,NER,113.5,"6,773,185,511.27",6.773185511
Rwanda,RWA,55,"7,103,000,861.21",7.103000861
Moldova,MDA,17.6,"7,252,769,934.45",7.252769934
Benin,BEN,89.5,"7,557,286,829.00",7.557286829
Tajikistan,TJK,58.3,"7,632,614,221.01",7.632614221
Haiti,HTI,75.6,"7,843,484,458.15",7.843484458
"Bahamas, The",BHS,16.9,"8,149,004,000.00",8.149004
Malta,MLT,6.8,"8,721,923,076.92",8.721923077
Lao PDR,LAO,71.8,"9,417,665,585.95",9.417665586
"Macedonia, FYR",MKD,7.4,"9,612,518,136.35",9.612518136
Zimbabwe,ZWE,89.8,"9,802,360,203.02",9.802360203
Armenia,ARM,16.4,"9,950,522,732.79",9.950522733
Madagascar,MDG,58.2,"9,975,124,872.41",9.975124872
South Sudan,SSD,104,"10,220,256,856.52",10.22025686
Mongolia,MNG,27.5,"10,271,393,281.38",10.27139328
Mali,MLI,128,"10,387,718,375.33",10.38771838
Mauritius,MUS,15.1,"10,486,037,633.99",10.48603763
Nicaragua,NIC,24.4,"10,507,356,837.65",10.50735684
Burkina Faso,BFA,102.4,"10,726,304,840.63",10.72630484
Albania,ALB,16.7,"12,648,095,824.41",12.64809582
Chad,TCD,149.8,"12,887,072,081.64",12.88707208
Namibia,NAM,38.7,"13,072,278,942.99",13.07227894
Iceland,ISL,2.3,"13,578,943,166.65",13.57894317
"Congo, Rep.",COG,96,"13,677,928,883.64",13.67792888
Cambodia,KHM,39.7,"14,038,383,450.19",14.03838345
Senegal,SEN,59.6,"14,045,759,802.38",14.0457598
Mozambique,MOZ,89.7,"14,243,717,484.46",14.24371748
Botswana,BWA,53.3,"14,504,339,385.94",14.50433939
Jamaica,JAM,16.8,"14,755,051,129.34",14.75505113
Papua New Guinea,PNG,63,"15,653,921,367.28",15.65392137
Georgia,GEO,19.9,"15,747,288,816.19",15.74728882
Brunei Darussalam,BRN,8,"16,953,952,625.40",16.95395263
"Congo, Dem. Rep.",COD,145.7,"17,203,980,742.57",17.20398074
Bosnia and Herzegovina,BIH,6.7,"17,465,958,605.66",17.46595861
Equatorial Guinea,GNQ,100.3,"17,697,394,251.21",17.69739425
Gabon,GAB,62,"18,377,083,881.01",18.37708388
Honduras,HND,22.9,"18,434,022,403.26",18.4340224
Nepal,NPL,41.6,"18,962,962,962.96",18.96296296
Uganda,UGA,68.9,"20,032,237,910.24",20.03223791
Afghanistan,AFG,98.5,"20,496,777,409.46",20.49677741
Zambia,ZMB,88.5,"20,590,283,021.55",20.59028302
Estonia,EST,3.6,"22,390,242,608.64",22.39024261
Cyprus,CYP,3.2,"22,766,912,960.00",22.76691296
Trinidad and Tobago,TTO,20.7,"23,320,256,742.62",23.32025674
El Salvador,SLV,15.9,"23,864,400,000.00",23.8644
Cote d'Ivoire,CIV,107.6,"24,680,372,724.44",24.68037272
Cameroon,CMR,94.9,"25,321,590,401.72",25.3215904
Paraguay,PRY,22,"25,502,060,502.12",25.5020605
Bolivia,BOL,41.4,"27,035,110,130.25",27.03511013
Tanzania,TZA,54,"28,242,425,168.11",28.24242517
Latvia,LVA,8.7,"28,372,577,696.53",28.3725777
Bahrain,BHR,9.6,"30,362,317,939.17",30.36231794
Jordan,JOR,19.1,"31,015,239,496.44",31.0152395
Turkmenistan,TKM,52.8,"35,164,210,526.32",35.16421053
"Yemen, Rep.",YEM,60,"35,645,823,131.57",35.64582313
Panama,PAN,18.5,"36,252,500,000.00",36.2525
Serbia,SRB,6.6,"37,488,935,009.79",37.48893501
Kenya,KEN,72.9,"40,697,163,224.25",40.69716322
Ghana,GHA,72,"40,710,781,538.58",40.71078154
Ethiopia,ETH,68.3,"41,605,361,646.06",41.60536165
Lithuania,LTU,5.4,"42,343,521,965.75",42.34352197
Lebanon,LBN,9.3,"42,945,273,631.84",42.94527363
Costa Rica,CRI,9.9,"45,103,963,693.48",45.10396369
Slovenia,SVN,3.1,"45,279,487,179.83",45.27948718
Tunisia,TUN,16.1,"45,662,043,358.07",45.66204336
Uruguay,URY,7.2,"49,919,727,146.42",49.91972715
Guatemala,GTM,32,"50,233,749,190.99",50.23374919
Bulgaria,BGR,12.1,"50,972,109,856.60",50.97210986
Uzbekistan,UZB,39.6,"51,112,745,668.72",51.11274567
Luxembourg,LUX,2.2,"55,178,452,044.23",55.17845204
Sudan,SDN,73.1,"58,768,800,832.79",58.76880083
Dominican Republic,DOM,27.1,"59,047,202,157.81",59.04720216
Croatia,HRV,4.7,"59,228,247,410.98",59.22824741
Sri Lanka,LKA,9.6,"59,423,009,404.39",59.4230094
Belarus,BLR,5.2,"63,267,017,440.31",63.26701744
Azerbaijan,AZE,35.2,"66,604,589,419.46",66.60458942
Oman,OMN,11.6,"78,110,793,867.62",78.11079387
Ecuador,ECU,23.3,"84,039,856,000.00",84.039856
Slovak Republic,SVK,7.5,"91,148,717,948.72",91.14871795
Morocco,MAR,31.1,"95,981,572,517.17",95.98157252
Angola,AGO,163.5,"114,147,030,253.23",114.1470303
Bangladesh,BGD,40.9,"116,355,057,337.05",116.3550573
Hungary,HUN,6.2,"124,600,486,886.06",124.6004869
Vietnam,VNM,23,"155,820,001,920.49",155.8200019
Romania,ROU,12.2,"169,396,055,590.80",169.3960556
New Zealand,NZL,5.7,"171,281,095,535.21",171.2810955
Ukraine,UKR,10.7,"176,308,825,694.20",176.3088257
Kuwait,KWT,11,"183,242,586,638.09",183.2425866
Qatar,QAT,7.4,"192,390,104,345.46",192.3901043
Czech Republic,CZE,3.8,"196,446,226,535.56",196.4462265
Kazakhstan,KAZ,18.7,"203,520,610,287.71",203.5206103
Peru,PER,18.2,"203,790,266,509.65",203.7902665
Algeria,DZA,20,"205,788,796,017.18",205.788796
Ireland,IRL,4,"210,771,753,571.61",210.7717536
Portugal,PRT,3.6,"212,273,977,886.35",212.2739779
Iraq,IRQ,34.4,"215,837,906,603.77",215.8379066
Pakistan,PAK,85.9,"225,143,266,331.15",225.1432663
Finland,FIN,2.9,"247,545,641,553.10",247.5456416
Greece,GRC,4.8,"249,098,684,277.45",249.0986843
Philippines,PHL,29.8,"250,182,019,476.32",250.1820195
Israel,ISR,4.2,"257,621,957,026.89",257.621957
Nigeria,NGA,123.7,"262,597,405,487.82",262.5974055
"Egypt, Arab Rep.",EGY,21,"262,831,912,586.54",262.8319126
Chile,CHL,9.1,"269,869,337,788.19",269.8693378
Singapore,SGP,2.9,"274,701,299,733.69",274.7012997
Malaysia,MYS,8.5,"305,032,745,224.60",305.0327452
Denmark,DNK,3.7,"315,163,055,675.44",315.1630557
Thailand,THA,13.2,"365,965,815,820.02",365.9658158
Colombia,COL,17.6,"369,606,330,701.98",369.6063307
"Venezuela, RB",VEN,15.3,"381,286,237,847.67",381.2862378
United Arab Emirates,ARE,8.4,"383,799,194,080.91",383.7991941
South Africa,ZAF,44.6,"384,312,674,445.53",384.3126744
Austria,AUT,4,"394,707,863,203.91",394.7078632
Argentina,ARG,14.2,"475,501,675,472.60",475.5016755
Belgium,BEL,4.2,"483,261,763,949.60",483.2617639
Poland,POL,5,"489,795,486,644.15",489.7954866
Norway,NOR,2.8,"500,029,909,755.05",500.0299098
Sweden,SWE,2.9,"523,942,287,822.88",523.9422878
"Iran, Islamic Rep.",IRN,17.6,"552,397,273,212.60",552.3972732
Switzerland,CHE,4.3,"631,173,029,581.96",631.1730296
Saudi Arabia,SAU,8.6,"711,049,600,000.00",711.0496
Netherlands,NLD,4.1,"770,555,412,702.49",770.5554127
Turkey,TUR,14.2,"789,257,487,307.03",789.2574873
Indonesia,IDN,31,"878,043,027,881.58",878.0430279
"Korea, Rep.",KOR,3.8,"1,129,598,273,324.48",1129.598273
Mexico,MEX,16.2,"1,178,126,184,343.49",1178.126184
Spain,ESP,4.5,"1,322,964,772,435.07",1322.964772
Australia,AUS,4.9,"1,532,407,884,934.19",1532.407885
Canada,CAN,5.3,"1,779,634,707,766.21",1779.634708
India,IND,56.3,"1,858,740,105,864.19",1858.740106
Italy,ITA,3.8,"2,014,669,579,719.72",2014.66958
Russian Federation,RUS,10.3,"2,014,774,938,341.85",2014.774938
Brazil,BRA,14.4,"2,252,664,120,777.39",2252.664121
South Asia,SAS,59.5,"2,303,123,169,751.89",2303.12317
United Kingdom,GBR,4.8,"2,475,781,990,521.33",2475.781991
France,FRA,4.1,"2,612,878,426,330.68",2612.878426
Germany,DEU,4.1,"3,428,130,624,839.29",3428.130625
Japan,JPN,3,"5,961,065,540,383.88",5961.06554
China,CHN,14,"8,227,102,629,831.48",8227.10263
