CountryName,Parent,2009,Change
World,World,16537.35518,-3.986070888
Afghanistan,World,1547.539119,18.06813695
Albania,World,8563.637372,3.477773092
Algeria,World,12309.09877,-0.139057172
Angola,World,7038.959928,-0.899777435
Antigua and Barbuda,World,22105.33995,-13.26411956
Armenia,World,6357.829125,-13.88001477
Australia,World,40958.67535,-0.425412957
Austria,World,41181.00118,-4.147831428
Azerbaijan,World,15393.89327,7.162543934
"Bahamas, The",World,22788.37214,-5.838241148
Bahrain,World,40823.75032,-3.432856331
Bangladesh,World,2034.203406,4.656798102
Barbados,World,15372.53195,-4.61105788
Belarus,World,14560.37759,0.384786262
Belgium,World,39148.59164,-3.579495251
Belize,World,8115.523733,-2.192516672
Benin,World,1639.187882,-0.305339499
Bermuda,World,57151.91913,-5.808003155
Bhutan,World,5946.855084,4.85213918
Bolivia,World,5152.463288,1.709353286
Bosnia and Herzegovina,World,9020.161107,-2.714607889
Botswana,World,12354.36807,-8.690763995
Brazil,World,13175.55736,-1.217019223
Brunei Darussalam,World,69354.06536,-3.355208293
Bulgaria,World,14991.93551,-4.889188553
Burkina Faso,World,1352.1669,-0.003962373
Burundi,World,722.7975544,-0.036746887
Cabo Verde,World,5785.457743,2.006723692
Cambodia,World,2408.642377,-1.354764894
Cameroon,World,2447.270165,-0.710276193
Canada,World,38972.03887,-3.876551405
Central African Republic,World,851.6097342,6.83579527
Chad,World,1772.375745,1.095222469
Chile,World,18352.06901,-1.971482447
China,World,8401.369179,8.658208013
Colombia,World,10534.20754,0.210033325
Comoros,World,1497.470592,-0.758510471
"Congo, Dem. Rep.",World,399.2601908,-0.000132795
"Congo, Rep.",World,5236.369466,4.276644448
Costa Rica,World,11864.14592,-2.493849742
Cote d'Ivoire,World,2742.91031,1.846385078
Croatia,World,20072.00471,-6.842155299
Cuba,World,17853.11261,1.51677751
Cyprus,World,32658.19574,-2.519070886
Czech Republic,World,26053.23751,-5.049642886
Denmark,World,41172.32726,-6.169727358
Dominica,World,9826.960166,5.72807762
Dominican Republic,World,9792.365567,2.050805448
Ecuador,World,8905.858921,-1.096542515
"Egypt, Arab Rep.",World,10272.08635,2.936564761
El Salvador,World,7179.601818,-3.629765828
Equatorial Guinea,World,38555.79927,-1.97645024
Eritrea,World,1094.931546,0.592197002
Estonia,World,20573.29769,-13.98500119
Ethiopia,World,968.236972,5.959443509
Fiji,World,7427.547691,-2.271596893
Finland,World,36693.63436,-8.974979075
France,World,35286.43837,-3.643769369
Gabon,World,16026.75875,-5.220958164
"Gambia, The",World,1603.987625,3.158272911
Georgia,World,5654.938783,-4.36696318
Germany,World,38079.81918,-4.904846205
Ghana,World,2906.223126,1.439294084
Greece,World,30195.46677,-3.52868205
Grenada,World,11738.05718,-6.938844935
Guatemala,World,6825.849171,-1.922124405
Guinea,World,1193.975487,-2.90251802
Guinea-Bissau,World,1255.317211,-1.096656007
Guyana,World,5344.445241,2.615419139
Haiti,World,1597.418117,1.540803878
Honduras,World,4199.875422,-4.358147745
"Hong Kong SAR, China",World,45402.52475,-2.668936262
Hungary,World,21675.32051,-6.654135483
Iceland,World,38880.46965,-6.880069976
India,World,4261.225472,7.06918757
Indonesia,World,7661.267041,3.199937063
"Iran, Islamic Rep.",World,15016.70916,2.693353802
Iraq,World,12259.53958,3.236390561
Ireland,World,42874.00975,-7.330450986
Israel,World,28315.65262,-1.143461394
Italy,World,33430.08244,-6.060440372
Jamaica,World,8526.097988,-4.748175515
Japan,World,32997.26897,-5.418784037
Jordan,World,11243.36812,3.182961071
Kazakhstan,World,18527.36786,-1.433028551
Kenya,World,1980.193319,0.02285788
Kiribati,World,1764.619431,-2.150817449
"Korea, Rep.",World,26658.84099,-0.156457716
Kosovo,World,7679.971098,2.176046311
Kuwait,World,87124.78838,-11.89757195
Kyrgyz Republic,World,2837.031414,1.651651388
Lao PDR,World,3667.521549,5.292025887
Latvia,World,18301.09751,-16.58916628
Lebanon,World,15391.62124,6.945767807
Lesotho,World,2098.539337,2.674713681
Liberia,World,642.793182,9.334125799
Lithuania,World,19975.56774,-13.78977573
Luxembourg,World,88057.98966,-7.288993906
"Macao SAR, China",World,79369.67987,-1.034958598
"Macedonia, FYR",World,11120.47092,-1.004651823
Madagascar,World,1419.509114,-6.788541043
Malawi,World,838.5442309,5.780241251
Malaysia,World,19311.82306,-3.243024165
Maldives,World,10067.08176,-5.388639226
Mali,World,1625.942053,1.21416649
Malta,World,27345.68516,-3.38373699
Marshall Islands,World,3264.29006,-1.680661432
Mauritania,World,2699.583615,-3.837854717
Mauritius,World,14696.44207,2.484072262
Mexico,World,14779.17191,-5.891117864
"Micronesia, Fed. Sts.",World,3243.388925,1.461995142
Moldova,World,3661.375283,-5.870827769
Mongolia,World,6180.239002,-2.723915791
Montenegro,World,13377.52589,-5.815551785
Morocco,World,6268.108313,3.64661051
Mozambique,World,848.909375,3.609784529
Namibia,World,8165.071382,-2.598632117
Nepal,World,1940.142207,3.369287738
Netherlands,World,42515.52001,-4.161727577
New Zealand,World,31471.08435,0.396706666
Nicaragua,World,3860.681868,-3.461900686
Niger,World,806.5530128,-4.378801583
Nigeria,World,4906.25057,4.062566521
Norway,World,62352.09588,-2.867605209
Oman,World,49797.78065,-1.545955091
Pakistan,World,4227.831227,0.966043846
Palau,World,13212.04927,-11.11242574
Panama,World,13286.26666,2.064881763
Papua New Guinea,World,2002.62411,3.077576401
Paraguay,World,6521.339059,-5.650816524
Peru,World,9723.945599,-0.154293695
Philippines,World,5304.05343,-0.519502375
Poland,World,20207.23778,1.531175883
Portugal,World,25632.02278,-3.000871628
Puerto Rico,World,33321.2126,-1.416210879
Qatar,World,125127.756,-2.677245822
Romania,World,16702.81352,-6.019077414
Russian Federation,World,20799.39297,-7.794902611
Rwanda,World,1197.10234,3.149345865
Samoa,World,4817.149605,-5.747381757
Sao Tome and Principe,World,2700.600636,1.028411062
Saudi Arabia,World,43726.52279,0.195063821
Senegal,World,2152.892882,-0.408908171
Serbia,World,11329.71096,-3.112276215
Seychelles,World,19923.92486,-1.494605211
Sierra Leone,World,1304.816169,1.25413702
Singapore,World,62250.17856,-3.734787153
Slovak Republic,World,23469.09625,-5.058185425
Slovenia,World,27757.87627,-8.83560663
Solomon Islands,World,1729.664865,-3.391594752
South Africa,World,11409.6951,-2.823839332
South Sudan,World,3669.871173,-0.092158279
Spain,World,32039.97496,-4.680394546
Sri Lanka,World,7080.363092,2.359226649
St. Kitts and Nevis,World,20303.38548,-8.01431058
St. Lucia,World,10350.45913,-1.277042485
St. Vincent and the Grenadines,World,10326.54558,-2.260302274
Sudan,World,3140.132213,0.404842256
Suriname,World,13679.5963,2.062921164
Swaziland,World,6161.608297,-0.43793246
Sweden,World,38693.36066,-5.833380931
Switzerland,World,50019.53537,-3.154491861
Tajikistan,World,2029.365005,1.119203922
Tanzania,World,1487.568474,2.903158777
Thailand,World,11915.2218,-2.465417792
Timor-Leste,World,1603.463211,9.499001377
Togo,World,1207.648999,0.866058984
Tonga,World,4846.251085,2.62997117
Trinidad and Tobago,World,29383.38274,-4.830463421
Tunisia,World,10476.21441,1.95697121
Turkey,World,15544.95896,-5.998263333
Turkmenistan,World,9302.734457,4.791181837
Tuvalu,World,3318.747485,-4.627727308
Uganda,World,1264.120379,3.708477217
Ukraine,World,7510.263915,-14.42092879
United Arab Emirates,World,61725.27965,-16.14710791
United Kingdom,World,34408.93014,-5.878700614
United States,World,48501.9184,-3.650781352
Uruguay,World,15047.45178,1.894578392
Uzbekistan,World,3967.710515,6.291286905
Vanuatu,World,2941.355856,0.874857263
"Venezuela, RB",World,17056.48674,-4.76935098
Vietnam,World,4259.960398,4.291908794
"Yemen, Rep.",World,4441.463448,1.408282273
Zambia,World,2661.562701,2.997640026
Zimbabwe,World,1125.197002,5.121997196
