Country,Years,life,fert,pop
Afghanistan,2000,54.84856098,7.733,20595360
Afghanistan,2001,55.25621951,7.623,21347782
Afghanistan,2002,55.67187805,7.484,22202806
Afghanistan,2003,56.10756098,7.321,23116142
Afghanistan,2004,56.56973171,7.136,24018682
Afghanistan,2005,57.05843902,6.93,24860855
Afghanistan,2006,57.57065854,6.702,25631282
Afghanistan,2007,58.09136585,6.456,26349243
Afghanistan,2008,58.60709756,6.196,27032197
Afghanistan,2009,59.11234146,5.928,27708187
Afghanistan,2010,59.60009756,5.659,28397812
Afghanistan,2011,60.06536585,5.395,29105480
Afghanistan,2012,60.50912195,5.141,29824536
Australia,2000,79.23414634,1.756,19153000
Australia,2001,79.63414634,1.739,19413000
Australia,2002,79.93658537,1.756,19651400
Australia,2003,80.23902439,1.748,19895400
Australia,2004,80.4902439,1.768,20127400
Australia,2005,80.84146341,1.807,20394800
Australia,2006,81.04146341,1.908,20697900
Australia,2007,81.29268293,1.959,20827600
Australia,2008,81.39512195,1.963,21249200
Australia,2009,81.54390244,1.888,21691700
Australia,2010,81.69512195,1.927,22031800
Australia,2011,81.89512195,1.927,22340000
Australia,2012,82.09512195,1.927,22723900
Austria,2000,78.02682927,1.36,8011566
Austria,2001,78.52682927,1.33,8042293
Austria,2002,78.67804878,1.39,8081957
Austria,2003,78.63170732,1.38,8121423
Austria,2004,79.1804878,1.42,8171966
Austria,2005,79.33170732,1.41,8227829
Austria,2006,79.83170732,1.41,8268641
Austria,2007,79.98292683,1.38,8300788
Austria,2008,80.23414634,1.41,8336926
Austria,2009,80.08292683,1.39,8365275
Austria,2010,80.38292683,1.44,8389771
Austria,2011,80.98292683,1.43,8406187
Austria,2012,80.93658537,1.44,8429991
Bangladesh,2000,65.31973171,3.12,132383265
Bangladesh,2001,65.79034146,3.011,134729503
Bangladesh,2002,66.23990244,2.905,137006279
Bangladesh,2003,66.67092683,2.802,139185986
Bangladesh,2004,67.08597561,2.702,141235035
Bangladesh,2005,67.48956098,2.607,143135180
Bangladesh,2006,67.88726829,2.52,144868702
Bangladesh,2007,68.28314634,2.443,146457067
Bangladesh,2008,68.68070732,2.377,147969967
Bangladesh,2009,69.08192683,2.322,149503100
Bangladesh,2010,69.48580488,2.277,151125475
Bangladesh,2011,69.89180488,2.24,152862431
Bangladesh,2012,70.29485366,2.208,154695368
Canada,2000,79.23658537,1.49,30769700
Canada,2001,79.48780488,1.505,31081900
Canada,2002,79.5902439,1.52,31362000
Canada,2003,79.83902439,1.53,31676000
Canada,2004,80.14146341,1.53,31995000
Canada,2005,80.29268293,1.54,32312000
Canada,2006,80.64390244,1.5862,32570505
Canada,2007,80.36987805,1.6589,32887928
Canada,2008,80.54321951,1.6808,33245773
Canada,2009,80.71709756,1.668,33628571
Canada,2010,80.8934878,1.6269,34005274
Canada,2011,81.06831707,1.61,34342780
Canada,2012,81.23804878,1.61,34754312
Spain,2000,78.96585366,1.23,40263216
Spain,2001,79.36829268,1.24,40756001
Spain,2002,79.56829268,1.25,41431558
Spain,2003,79.6195122,1.3,42187645
Spain,2004,79.87073171,1.31,42921895
Spain,2005,80.17073171,1.33,43653155
Spain,2006,80.82195122,1.36,44397319
Spain,2007,80.87317073,1.38,45226803
Spain,2008,81.17560976,1.45,45954106
Spain,2009,81.47560976,1.38,46362946
Spain,2010,81.62682927,1.37,46576897
Spain,2011,82.47560976,1.34,46742697
Spain,2012,82.37804878,1.32,46761264
Ethiopia,2000,52.24114634,6.529,66024199
Ethiopia,2001,52.94695122,6.38,67956866
Ethiopia,2002,53.73487805,6.218,69948344
Ethiopia,2003,54.60885366,6.046,71989666
Ethiopia,2004,55.56134146,5.87,74066147
Ethiopia,2005,56.57180488,5.693,76167240
Ethiopia,2006,57.61521951,5.52,78290649
Ethiopia,2007,58.65365854,5.353,80440708
Ethiopia,2008,59.65626829,5.193,82621190
Ethiopia,2009,60.60014634,5.043,84838032
Ethiopia,2010,61.46795122,4.902,87095281
Ethiopia,2011,62.25285366,4.769,89393063
Ethiopia,2012,62.96595122,4.642,91728849
Ghana,2000,56.98758537,4.669,18825034
Ghana,2001,57.14760976,4.617,19293392
Ghana,2002,57.42192683,4.566,19786307
Ghana,2003,57.78665854,4.512,20301686
Ghana,2004,58.22485366,4.455,20835514
Ghana,2005,58.70453659,4.392,21384034
Ghana,2006,59.18670732,4.326,21947779
Ghana,2007,59.63785366,4.257,22525659
Ghana,2008,60.02995122,4.188,23110139
Ghana,2009,60.35102439,4.119,23691533
Ghana,2010,60.59956098,4.052,24262901
Ghana,2011,60.78858537,3.985,24820706
Ghana,2012,60.94712195,3.92,25366462
India,2000,62.16185366,3.145,1042261758
India,2001,62.55663415,3.083,1059500888
India,2002,62.94934146,3.018,1076705723
India,2003,63.34004878,2.952,1093786762
India,2004,63.72426829,2.884,1110626108
India,2005,64.09758537,2.817,1127143548
India,2006,64.45509756,2.753,1143289350
India,2007,64.79385366,2.694,1159095250
India,2008,65.11339024,2.643,1174662334
India,2009,65.41319512,2.6,1190138069
India,2010,65.6942439,2.563,1205624648
India,2011,65.9584878,2.532,1221156319
India,2012,66.21085366,2.505,1236686732
United States,2000,76.63658537,2.056,282162411
United States,2001,76.73658537,2.0305,284968955
United States,2002,76.83658537,2.0205,287625193
United States,2003,76.98780488,2.0475,290107933
United States,2004,77.33902439,2.0515,292805298
United States,2005,77.33902439,2.057,295516599
United States,2006,77.58780488,2.108,298379912
United States,2007,77.83902439,2.12,301231207
United States,2008,77.93902439,2.072,304093966
United States,2009,78.0902439,2.002,306771529
United States,2010,78.54146341,1.931,309326295
United States,2011,78.64146341,1.8945,311582564
United States,2012,78.74146341,1.8805,313873685
