Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.72060976,73.78290244,73.8652439,73.96856098,74.09085366,74.22807317,74.37570732,74.5262439,74.67421951,74.81614634,74.95202439,75.08039024,75.2067561
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.84856098,55.25621951,55.67187805,56.10756098,56.56973171,57.05843902,57.57065854,58.09136585,58.60709756,59.11234146,59.60009756,60.06536585,60.50912195
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.20478049,45.97314634,46.71173171,47.39317073,48.0035122,48.53880488,49.00704878,49.43573171,49.84739024,50.25102439,50.65417073,51.05931707,51.464
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.27207317,74.73421951,75.15795122,75.52936585,75.839,76.08939024,76.29053659,76.46485366,76.63231707,76.80187805,76.9785122,77.16321951,77.35046341
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.67006183,67.86960305,68.05338239,68.22809076,68.41062769,68.59594578,68.79417589,68.99364675,69.18793947,69.38159704,69.57168995,69.76146489,69.94970243
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.40568293,74.64946341,74.88921951,75.1244878,75.35573171,75.58195122,75.80012195,76.01121951,76.2147561,76.41070732,76.59860976,76.781,76.95787805
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.74565854,73.95368293,74.15878049,74.35995122,74.55773171,74.75165854,74.94121951,75.12690244,75.30819512,75.48709756,75.66356098,75.83860976,76.01268293
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.27653659,71.75565854,72.2022439,72.61097561,72.97492683,73.28856098,73.54982927,73.76463415,73.94387805,74.09304878,74.21965854,74.33219512,74.43721951
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.39729268,73.60607317,73.81339024,74.01921951,74.22204878,74.42185366,74.61609756,74.80478049,74.98687805,75.16241463,75.33390244,75.50036585,75.66531707
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.09512195
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.02682927,78.52682927,78.67804878,78.63170732,79.1804878,79.33170732,79.83170732,79.98292683,80.23414634,80.08292683,80.38292683,80.98292683,80.93658537
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.7582439,67.15029268,67.56107317,68.00368293,68.47019512,68.93726829,69.37473171,69.756,70.06292683,70.29265854,70.45029268,70.55129268,70.62495122
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.20802439,48.49492683,48.80356098,49.15695122,49.55809756,50.007,50.49960976,51.02146341,51.55658537,52.09407317,52.62402439,53.13656098,53.6287561
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,79.98292683,80.23414634,80.58536585,80.38536585
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.1882439,55.4664878,55.81431707,56.20807317,56.63317073,57.06697561,57.48687805,57.87387805,58.216,58.5067561,58.74668293,58.94490244,59.1194878
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.4827561,50.85807317,51.2727561,51.71756098,52.18278049,52.65870732,53.13968293,53.61968293,54.09419512,54.55768293,55.0067561,55.4404878,55.86202439
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.31973171,65.79034146,66.23990244,66.67092683,67.08597561,67.48956098,67.88726829,68.28314634,68.68070732,69.08192683,69.48580488,69.89180488,70.29485366
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.5892439,74.77670732,74.96021951,75.1407561,75.31880488,75.49231707,75.66073171,75.823,75.97660976,76.12404878,76.26485366,76.40204878,76.53619512
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.25429268,72.54509756,72.84126829,73.12729268,73.39465854,73.63887805,73.85895122,74.05946341,74.24743902,74.42390244,74.59239024,74.75490244,74.91446341
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.66917073,74.92109756,74.98714634,75.0104878,75.04107317,75.11239024,75.23095122,75.3704878,75.51097561,75.65587805,75.80668293,75.96241463,76.12114634
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20341463,70.45609756,70.40731707,70.40487805,70.65121951,72.06341463
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.53904878,70.82443902,71.13695122,71.45339024,71.7594878,72.04631707,72.31236585,72.56373171,72.80770732,73.0432439,73.2704878,73.48780488,73.69914634
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.88536585,77.88536585,78.08780488,78.33414634,78.48536585,78.68536585,78.88780488,78.93414634,79.23658537,79.38843902,79.28853659,79.28853659,79.28853659
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.95460976,63.31553659,63.67160976,64.02026829,64.3635122,64.70078049,65.03309756,65.36190244,65.68570732,66.00546341,66.31970732,66.62692683,66.92663415
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.25739024,70.56965854,70.86956098,71.15960976,71.44178049,71.71853659,71.99178049,72.26290244,72.53387805,72.80417073,73.07531707,73.34736585,73.61787805
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.0194878,73.21287805,73.4017561,73.58765854,73.77004878,73.94895122,74.12482927,74.29721951,74.46758537,74.63543902,74.80178049,74.96714634,75.13202439
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.03095122,76.23880488,76.44263415,76.6424878,76.83931707,77.03268293,77.22460976,77.41609756,77.60619512,77.79787805,77.98865854,78.18102439,78.37346341
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.29080488,61.0447561,61.80019512,62.55412195,63.3005122,64.02641463,64.71831707,65.36573171,65.96268293,66.50768293,67.00468293,67.46073171,67.88926829
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.48963415,49.41117073,48.49968293,47.7454878,47.15543902,46.72695122,46.44797561,46.29609756,46.25036585,46.30026829,46.44029268,46.66895122,46.99070732
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.69231707,43.78739024,43.96358537,44.22390244,44.56782927,44.99592683,45.50819512,46.0912439,46.72912195,47.40492683,48.09873171,48.79304878,49.47539024
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.23658537,79.48780488,79.5902439,79.83902439,80.14146341,80.29268293,80.64390244,80.36987805,80.54321951,80.71709756,80.8934878,81.06831707,81.23804878
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.71969035,73.09785547,73.24391073,73.38323355,73.7386941,73.83907249,74.09335416,74.25238333,74.57753902,74.9318257,75.29662861,75.94054995,76.04586273
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.6804878,80.1804878,80.38536585,80.53658537,81.08780488,81.23658537,81.4902439,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.52460976,77.78521951,78.0532439,78.32314634,78.58843902,78.84312195,79.08021951,79.29726829,79.49482927,79.67139024,79.8314878,79.97863415,80.11982927
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.75856098,77.13104878,77.4615122,77.73792683,77.95980488,78.13721951,78.2897561,78.44297561,78.61741463,78.81858537,79.05046341,79.3065122,79.57265854
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.14073171,72.61978049,73.06960976,73.46509756,73.79370732,74.05390244,74.25631707,74.42407317,74.57982927,74.73163415,74.88502439,75.042,75.1995122
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.45390244,46.27312195,46.28358537,46.46295122,46.791,47.23229268,47.74265854,48.27370732,48.78663415,49.25682927,49.67529268,50.04756098,50.40173171
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.93587805,51.75719512,51.65526829,51.63904878,51.7164878,51.88904878,52.1502439,52.47914634,52.85582927,53.26485366,53.69482927,54.13736585,54.5875122
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.30192683,52.4412439,52.69217073,53.04880488,53.49965854,54.03329268,54.63426829,55.27617073,55.93404878,56.5844878,57.20402439,57.77521951,58.29656098
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.98721951,71.25790244,71.51729268,71.771,72.01860976,72.26060976,72.49558537,72.72304878,72.94353659,73.15807317,73.36768293,73.57385366,73.77707317
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.87943902,58.11380488,58.34870732,58.58314634,58.81804878,59.05239024,59.28604878,59.519,59.74970732,59.97817073,60.20341463,60.4254878,60.644
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.5912439,70.04778049,70.50814634,70.96826829,71.42260976,71.86658537,72.29609756,72.71063415,73.10963415,73.49158537,73.85697561,74.20682927,74.54373171
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.7344878,77.89580488,78.04409756,78.18239024,78.31417073,78.44602439,78.5845122,78.73465854,78.9004878,79.0825122,79.27970732,79.48956098,79.70502439
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.33634768,69.47590832,69.73008257,69.83721106,70.05307633,70.28458689,70.52526977,70.76605165,71.00043713,71.22288464,71.43038984,71.62124851,71.7986121
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.66895122,76.87180488,77.07190244,77.27768293,77.49014634,77.70690244,77.92509756,78.13743902,78.34104878,78.534,78.71778049,78.89382927,79.06702439
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,74.7097561,75.36341463,75.3097561,76.15609756,,77.47317073,
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.97165854,78.10197561,78.22926829,78.35304878,78.47634146,78.60119512,78.72914634,78.86373171,79.00495122,79.15382927,79.30982927,79.47195122,79.63712195
Czech Republic,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.96829268,75.17317073,75.22195122,75.17073171,75.72195122,75.92439024,76.52439024,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976
Germany,DEU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.92682927,78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.74146341,80.89268293
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.01034146,57.0882439,57.22056098,57.41121951,57.66363415,57.98129268,58.36417073,58.80034146,59.27587805,59.77731707,60.29119512,60.80307317,61.30397561
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,76.59756098,,,,,,,,,,
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.59268293,76.79268293,76.89512195,77.14390244,77.49268293,77.84390244,78.09512195,78.19512195,78.44634146,78.59756098,79.1,79.8,80.05121951
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.63273171,70.83743902,71.04831707,71.26085366,71.47507317,71.69141463,71.90934146,72.12931707,72.34978049,72.57121951,72.79214634,73.01304878,73.23297561
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.93019512,69.12043902,69.30526829,69.4862439,69.66387805,69.83860976,70.00836585,70.17104878,70.32707317,70.47492683,70.61660976,70.75168293,70.88217073
East Asia & Pacific (developing only),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.85422849,71.27491668,71.67458348,72.03366578,72.34255498,72.59953414,72.81146355,72.99493511,73.16661888,73.3321658,73.49592959,73.65962853,73.82225341
East Asia & Pacific (all income levels),EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.80956448,72.22107307,72.60069962,72.94217908,73.24978441,73.48396346,73.71537362,73.90243922,74.07235114,74.25614274,74.40351019,74.54670868,74.73287191
Europe & Central Asia (developing only),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.01563979,69.33233723,69.48895556,69.70198932,69.93498329,70.06991953,70.32766114,70.58575905,70.81045117,71.27366355,71.60659359,72.0102238,72.27343455
Europe & Central Asia (all income levels),ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.03287611,73.33690574,73.40118949,73.50157803,73.93500373,74.08514357,74.57027724,74.91143942,75.17642036,75.56306845,75.85239559,76.39939125,76.70376109
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.35685366,73.69739024,73.99058537,74.239,74.44714634,74.629,74.80004878,74.97873171,75.1765122,75.39934146,75.64770732,75.91660976,76.19256098
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.5912439,68.78643902,68.95168293,69.1074878,69.26382927,69.43114634,69.61390244,69.80856098,70.01360976,70.22802439,70.45082927,70.67856098,70.9072439
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.34038033,78.65310039,78.75865962,78.7592774,79.35425738,79.50026045,79.94199416,80.17564757,80.42380176,80.62248888,80.86593582,81.4527062,81.61444514
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.02653659,56.58985366,57.119,57.62843902,58.12819512,58.62678049,59.1292439,59.63621951,60.1472439,60.66336585,61.18509756,61.71092683,62.23478049
Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.96585366,79.36829268,79.56829268,79.6195122,79.87073171,80.17073171,80.82195122,80.87317073,81.17560976,81.47560976,81.62682927,82.47560976,82.37804878
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.41707317,70.25853659,70.90487805,71.31707317,71.9097561,72.56829268,72.69146341,72.81463415,73.77073171,74.82439024,75.42926829,76.22926829,76.42682927
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.24114634,52.94695122,53.73487805,54.60885366,55.56134146,56.57180488,57.61521951,58.65365854,59.65626829,60.60014634,61.46795122,62.25285366,62.96595122
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.15598372,77.48034511,77.60565837,77.68120084,78.19213239,78.35808754,78.73680739,78.95903951,79.20906496,79.47224316,79.75677656,80.3488522,80.54442826
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.3884143,56.60612292,56.83906755,57.08743432,57.35352298,57.64043128,57.9515442,58.28272247,58.62571306,58.97044982,59.30824021,59.63794158,59.95914097
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.46585366,77.96585366,78.1195122,78.36829268,78.71463415,78.81707317,79.21463415,79.26341463,79.56829268,79.7195122,79.87073171,80.47073171,80.62682927
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.60585366,67.788,67.96709756,68.14314634,68.31768293,68.49178049,68.666,68.84239024,69.021,69.20080488,69.38231707,69.56397561,69.74473171
France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.05609756,79.15853659,79.26097561,79.11463415,80.16341463,80.16341463,80.81219512,81.11219512,81.21463415,81.41463415,81.66341463,82.11463415,82.56585366
Faeroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.83414634,78.98780488,79.14146341,79.24146341,79.3902439,79.53902439,79.78780488,80.18780488,80.53658537,80.88780488,81.28780488,81.68780488,82.03902439
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.2752439,67.38426829,67.50373171,67.63514634,67.77602439,67.92487805,68.07619512,68.22397561,68.36573171,68.4984878,68.62173171,68.73797561,68.85021951
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.68802439,59.49631707,59.42292683,59.48429268,59.68385366,60.00914634,60.4312439,60.90373171,61.38570732,61.85270732,62.2897561,62.69334146,63.07392683
United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.74146341,77.99268293,78.14390244,78.44634146,78.74634146,79.04878049,79.24878049,79.44878049,79.6,80.05121951,80.40243902,80.95121951,81.5
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.63034146,71.92978049,72.21207317,72.47173171,72.7057561,72.91070732,73.08907317,73.24843902,73.39680488,73.53773171,73.67473171,73.80978049,73.94487805
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.98758537,57.14760976,57.42192683,57.78665854,58.22485366,58.70453659,59.18670732,59.63785366,60.02995122,60.35102439,60.59956098,60.78858537,60.94712195
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.24992683,51.27629268,51.44063415,51.74902439,52.19458537,52.74512195,53.34953659,53.94370732,54.47843902,54.93187805,55.298,55.59019512,55.84465854
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.17121951,55.4977561,55.82129268,56.14185366,56.45590244,56.76192683,57.05792683,57.34387805,57.61880488,57.88168293,58.1335122,58.37480488,58.60707317
