Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Latin America & Caribbean (all income levels),LCN,"Population, total",SP.POP.TOTL,525299778,532840550,540217803,547443994,554534410,561502779,568336456,575047293,581691361,588333069,595022397,601761019,608545904,615332338
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,663076857,679537030,696334710,713415311,730694477,748106719,765649069,783365551,801350734,819734200,838607768,858041634,877943413,898287691
Low income,LIC,"Population, total",SP.POP.TOTL,636658396,651625175,666831547,682231310,697754397,713362256,729028598,744805505,760826912,777273782,794273025,811875040,830035274,848667515
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,33093,33475,33821,34141,34445,34740,35028,35308,35582,35851,36120,36388,36656,36925
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,19102000,18797000,18921000,19173000,19435000,19644000,19858000,20039000,20217000,20450000,20653000,20869000,20328000,20483000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2089438289,2124273947,2159443025,2194868737,2230512895,2266321152,2302340655,2338536660,2374987094,2411761473,2449001778,2486557941,2523370023,2561088084
Low & middle income,LMY,"Population, total",SP.POP.TOTL,4891279561,4962395348,5033154140,5103614254,5174012022,5244447400,5314612227,5384133283,5454156949,5525305404,5597331388,5670402311,5743616071,5818411891
Lesotho,LSO,"Population, total",SP.POP.TOTL,1856225,1871500,1885487,1898757,1912022,1925844,1940413,1955784,1972199,1989873,2008921,2029516,2051545,2074465
Lithuania,LTU,"Population, total",SP.POP.TOTL,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2956121
Luxembourg,LUX,"Population, total",SP.POP.TOTL,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543202
Latvia,LVA,"Population, total",SP.POP.TOTL,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2013385
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,431907,438080,444150,450711,458542,468149,479808,493206,507528,521617,534626,546278,556783,566375
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,28384,27782,27450,27363,27514,27906,28414,28905,29376,29820,30235,30615,30959,31264
Morocco,MAR,"Population, total",SP.POP.TOTL,28710123,29021156,29311443,29586937,29855820,30125445,30395097,30667086,30955151,31276564,31642360,32059424,32521143,33008150
Monaco,MCO,"Population, total",SP.POP.TOTL,32081,32366,32653,32968,33346,33808,34369,35013,35686,36314,36845,37261,37579,37831
Moldova,MDA,"Population, total",SP.POP.TOTL,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3559000
Madagascar,MDG,"Population, total",SP.POP.TOTL,15744811,16235767,16736029,17245275,17763367,18290394,18826126,19371023,19926785,20495695,21079532,21678934,22293914,22924851
Maldives,MDV,"Population, total",SP.POP.TOTL,272745,277825,282743,287594,292505,297576,302825,308239,313843,319660,325694,331964,338442,345023
Middle East & North Africa (all income levels),MEA,"Population, total",SP.POP.TOTL,311791217,317805287,323928401,330179555,336707719,343510995,350621934,357997667,365551442,373173863,380656782,388001596,395316900,402606687
Mexico,MEX,"Population, total",SP.POP.TOTL,103873607,105339877,106723661,108056312,109381550,110731826,112116694,113529819,114968039,116422752,117886404,119361233,120847477,122332399
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,52161,52184,52161,52115,52074,52058,52084,52150,52245,52341,52428,52495,52555,52634
Middle income,MIC,"Population, total",SP.POP.TOTL,4254621165,4310770173,4366322593,4421382944,4476257625,4531085144,4585583629,4639327778,4693330037,4748031622,4803058363,4858527271,4913580797,4969744376
"Macedonia, FYR",MKD,"Population, total",SP.POP.TOTL,2052129,2065098,2074441,2080866,2085728,2090044,2093801,2096620,2098769,2100558,2102216,2103890,2105575,2107158
Mali,MLI,"Population, total",SP.POP.TOTL,10260577,10562768,10882662,11219737,11572936,11941258,12325545,12725629,13138299,13559296,13985961,14416737,14853572,15301650
Malta,MLT,"Population, total",SP.POP.TOTL,381363,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,419455,423282
Myanmar,MMR,"Population, total",SP.POP.TOTL,48453000,48894203,49261313,49577152,49875169,50181020,50500070,50828959,51174018,51540490,51931231,52350763,52797319,53259018
Middle East & North Africa (developing only),MNA,"Population, total",SP.POP.TOTL,276589220,281419375,286194319,290931916,295798207,300818779,306024448,311388401,316897374,322492145,328123176,333779559,339560601,345447146
Montenegro,MNE,"Population, total",SP.POP.TOTL,611196,611525,612325,613448,614670,615820,616854,617800,618649,619408,620078,620644,621081,621383
Mongolia,MNG,"Population, total",SP.POP.TOTL,2397473,2419669,2443231,2468595,2496248,2526502,2559496,2595068,2632834,2672223,2712738,2754209,2796484,2839073
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,68434,68817,68499,67562,66143,64372,62235,59792,57345,55278,53860,53230,53305,53855
Mozambique,MOZ,"Population, total",SP.POP.TOTL,18275618,18785719,19319894,19873460,20438827,21010376,21587317,22171404,22762525,23361025,23967265,24581367,25203395,25833752
Mauritania,MRT,"Population, total",SP.POP.TOTL,2708095,2791403,2877431,2965667,3055425,3146164,3237713,3330037,3422901,3516077,3609420,3702763,3796141,3889880
Mauritius,MUS,"Population, total",SP.POP.TOTL,1186873,1199881,1210196,1222811,1233386,1243253,1252698,1260403,1268565,1275032,1280924,1286051,1291167,1296303
Malawi,MWI,"Population, total",SP.POP.TOTL,11321496,11623166,11926778,12238739,12569091,12924746,13307535,13713758,14138207,14573338,15013694,15457531,15906483,16362567
Malaysia,MYS,"Population, total",SP.POP.TOTL,23420751,23925742,24413795,24890654,25365089,25843466,26327098,26813819,27302348,27790324,28275835,28758968,29239927,29716965
North America,NAC,"Population, total",SP.POP.TOTL,312993944,316113359,319050105,321847258,324864038,327892753,331014940,334184023,337405012,340465736,343396693,345989908,348692795,351352167
Namibia,NAM,"Population, total",SP.POP.TOTL,1897953,1931282,1958303,1981237,2003320,2027026,2052931,2080700,2110791,2143498,2178967,2217618,2259393,2303315
New Caledonia,NCL,"Population, total",SP.POP.TOTL,213230,217324,221490,225735,230068,234393,238459,242400,243985,245580,250000,254000,258000,262000
Niger,NER,"Population, total",SP.POP.TOTL,10989815,11396434,11817297,12254040,12708897,13183798,13679705,14197289,14737895,15302948,15893746,16511462,17157042,17831270
Nigeria,NGA,"Population, total",SP.POP.TOTL,122876727,126004992,129224641,132550146,135999250,139585891,143314909,147187353,151208080,155381020,159707780,164192925,168833776,173615345
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5100920,5176685,5248577,5317878,5386299,5455219,5524927,5595533,5667983,5743329,5822209,5905146,5991733,6080478
Netherlands,NLD,"Population, total",SP.POP.TOTL,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804224
High income: nonOECD,NOC,"Population, total",SP.POP.TOTL,231667801,232443635,233318373,234035814,234944755,236119091,237546891,239408338,241547193,243583554,245923838,248047494,249927994,251690488
Norway,NOR,"Population, total",SP.POP.TOTL,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5084190
Nepal,NPL,"Population, total",SP.POP.TOTL,23184177,23655119,24102862,24525527,24921910,25292058,25634043,25950022,26249412,26544943,26846016,27156367,27474377,27797457
New Zealand,NZL,"Population, total",SP.POP.TOTL,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4228300,4268900,4315800,4367800,4405200,4433000,4470800
High income: OECD,OEC,"Population, total",SP.POP.TOTL,979054588,985176774,991331703,997436020,1003560191,1009610324,1015800688,1022174932,1028942850,1034853046,1040257146,1046188222,1049561526,1054441583
OECD members,OED,"Population, total",SP.POP.TOTL,1156313649,1164804524,1173236272,1181560149,1189894522,1198172267,1206615089,1215257044,1224312588,1232539528,1240281119,1248579820,1254326493,1261603870
Oman,OMN,"Population, total",SP.POP.TOTL,2192535,2239025,2308409,2389121,2464001,2522325,2554905,2569739,2593523,2663224,2802768,3024774,3314001,3632444
Other small states,OSS,"Population, total",SP.POP.TOTL,16222082,16510199,16800017,17090379,17380197,17657933,17943362,18232248,18531059,18836019,19152790,19511734,19858911,20214523
Pakistan,PAK,"Population, total",SP.POP.TOTL,143832014,146857081,149693684,152419974,155151394,157971415,160905794,163928329,167008083,170093999,173149306,176166353,179160111,182142594
Panama,PAN,"Population, total",SP.POP.TOTL,3054812,3116409,3178450,3240805,3303335,3365929,3428509,3491034,3553480,3615846,3678128,3740282,3802281,3864170
Peru,PER,"Population, total",SP.POP.TOTL,26000080,26372358,26729909,27073334,27403845,27723281,28030688,28328410,28625628,28934303,29262830,29614887,29987800,30375603
Philippines,PHL,"Population, total",SP.POP.TOTL,77651848,79297756,80953652,82604681,84231329,85821214,87366573,88875548,90371287,91886400,93444322,95053437,96706764,98393574
Palau,PLW,"Population, total",SP.POP.TOTL,19174,19404,19575,19700,19805,19907,20012,20118,20228,20344,20470,20606,20754,20918
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,5379226,5518971,5660267,5803302,5948461,6095959,6245797,6397623,6550877,6704829,6858945,7012977,7167010,7321262
Poland,POL,"Population, total",SP.POP.TOTL,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38183683,38534157,38535873,38530725
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721208,3686580,3651545,3615086
"Korea, Dem. Rep.",PRK,"Population, total",SP.POP.TOTL,22840225,23043449,23248059,23449180,23639303,23813333,23969917,24111989,24243894,24371865,24500520,24631291,24763188,24895480
Portugal,PRT,"Population, total",SP.POP.TOTL,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10459806
Paraguay,PRY,"Population, total",SP.POP.TOTL,5350253,5460621,5571371,5682350,5793330,5904170,6014781,6125285,6236005,6347383,6459721,6573097,6687361,6802295
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,1952589,1974075,1994790,2015471,2037106,2060378,2085616,2112600,2140772,2169285,2197519,2225298,2252782,2280082
French Polynesia,PYF,"Population, total",SP.POP.TOTL,237267,241276,245032,248536,251811,254884,257731,260361,262877,265412,268065,270874,273814,276831
Qatar,QAT,"Population, total",SP.POP.TOTL,593693,611808,629745,660238,720383,821159,967602,1152459,1359114,1564082,1749713,1910902,2050514,2168673
Romania,ROU,"Population, total",SP.POP.TOTL,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20076727,19963581
Russian Federation,RUS,"Population, total",SP.POP.TOTL,146596870,145976473,145408033,144667468,143821212,143113885,142487260,142114903,141956409,141909244,142385523,142956460,143178000,143499861
Rwanda,RWA,"Population, total",SP.POP.TOTL,8395577,8760003,8987523,9126167,9254379,9429457,9660946,9928143,10222961,10529668,10836732,11144315,11457801,11776522
South Asia,SAS,"Population, total",SP.POP.TOTL,1382195669,1405746086,1429513552,1453111368,1476314527,1498995049,1521155564,1542806515,1564144995,1585462500,1606838890,1628377343,1649249388,1670808253
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,20144584,20891594,21825217,22852333,23839231,24690067,25371936,25915624,26366358,26796375,27258387,27761728,28287855,28828870
Sudan,SDN,"Population, total",SP.POP.TOTL,27729798,28434810,29186427,29973979,30778572,31585871,32397535,33218250,34040065,34853178,35652002,36430923,37195349,37964306
Senegal,SEN,"Population, total",SP.POP.TOTL,9861679,10119118,10390050,10673535,10967568,11270826,11582925,11904974,12238791,12586827,12950564,13330737,13726021,14133280
Singapore,SGP,"Population, total",SP.POP.TOTL,4027900,4138000,4176000,4114800,4166700,4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400,5399200
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,412336,423529,434880,446335,457827,469306,480745,492148,503541,514964,526447,537997,549598,561231
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,4139757,4295667,4493047,4712763,4928175,5119895,5280909,5416015,5532139,5641182,5751976,5865491,5978727,6092075
El Salvador,SLV,"Population, total",SP.POP.TOTL,5958794,5985299,6008308,6029366,6050297,6072538,6096692,6122952,6151776,6183484,6218195,6256242,6297394,6340454
San Marino,SMR,"Population, total",SP.POP.TOTL,26969,27467,28064,28700,29290,29775,30130,30377,30549,30698,30861,31048,31247,31448
Somalia,SOM,"Population, total",SP.POP.TOTL,7385416,7609265,7825924,8037706,8249965,8466938,8687671,8910851,9140259,9380854,9636173,9907903,10195134,10495583
Serbia,SRB,"Population, total",SP.POP.TOTL,7516346,7503433,7500031,7480591,7463157,7440769,7411569,7381579,7350221,7320807,7291436,7234099,7199077,7163976
Sub-Saharan Africa (developing only),SSA,"Population, total",SP.POP.TOTL,663729242,681464392,699668048,718089717,737078798,756669739,776877393,797704069,819167436,841271942,864024485,887427019,911475726,936119483
South Sudan,SSD,"Population, total",SP.POP.TOTL,6652984,6924455,7186820,7449905,7730180,8039351,8376893,8736736,9118386,9520571,9940929,10381110,10837527,11296173
Sub-Saharan Africa (all income levels),SSF,"Population, total",SP.POP.TOTL,664247421,681998984,700219447,718658269,737664781,757273387,777498910,798343687,819825461,841948793,864720652,888143015,912212022,936876497
Small states,SST,"Population, total",SP.POP.TOTL,24606051,24962979,25316076,25670835,26026946,26373131,26729387,27091181,27464009,27842722,28231945,28661236,29076151,29497285
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,139428,141783,144447,147455,150842,154615,158806,163390,168253,173240,178228,183177,188098,192993
Suriname,SUR,"Population, total",SP.POP.TOTL,466668,473312,480099,486867,493394,499523,505186,510433,515372,520173,524960,529761,534541,539276
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5414095
Slovenia,SVN,"Population, total",SP.POP.TOTL,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2060484
Sweden,SWE,"Population, total",SP.POP.TOTL,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9592552
Swaziland,SWZ,"Population, total",SP.POP.TOTL,1063715,1074761,1082183,1087929,1094758,1104642,1118253,1134977,1153929,1173678,1193148,1212159,1230985,1249514
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,30519,31189,32566,33791,35318,36936,38272,39464,40459,39133,37850,38486,39088,39689
Seychelles,SYC,"Population, total",SP.POP.TOTL,81131,81202,83700,82800,82500,82900,84600,85033,86956,87298,89770,87441,88303,89173
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,16371208,16700984,16994676,17298476,17676012,18167367,18804914,19561477,20346056,21031546,21532647,21961676,22399254,22845550
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,18876,20186,21740,23412,25025,26450,27642,28638,29481,30247,30993,31726,32427,33098
Chad,TCD,"Population, total",SP.POP.TOTL,8301151,8620917,8959964,9311234,9665024,10014413,10356822,10694366,11030628,11371325,11720781,12080037,12448175,12825314
Togo,TGO,"Population, total",SP.POP.TOTL,4864753,4992225,5123674,5258956,5397851,5540214,5685845,5834806,5987491,6144457,6306014,6472304,6642928,6816982
Thailand,THA,"Population, total",SP.POP.TOTL,62343379,63069070,63797841,64488338,65087400,65559487,65883961,66076927,66185340,66277335,66402316,66576332,66785001,67010502
Tajikistan,TJK,"Population, total",SP.POP.TOTL,6186152,6289340,6404118,6529609,6663929,6805655,6954522,7111025,7275252,7447396,7627326,7814850,8008990,8207834
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,4501419,4551762,4600171,4648037,4696876,4747839,4801595,4858236,4917543,4978962,5041995,5106668,5172931,5240072
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,853585,871353,899367,933369,966987,982889,999053,1015482,1032182,1049156,1066409,1120392,1148958,1178252
Tonga,TON,"Population, total",SP.POP.TOTL,97962,98504,99083,99691,100319,100960,101617,102289,102947,103557,104098,104554,104941,105323
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1267980,1272347,1277723,1283868,1290379,1296933,1303478,1310040,1316449,1322518,1328095,1333082,1337439,1341151
Tunisia,TUN,"Population, total",SP.POP.TOTL,9563500,9673600,9781900,9839800,9932400,10029000,10127900,10225100,10328900,10439600,10549100,10673800,10777500,10886500
Turkey,TUR,"Population, total",SP.POP.TOTL,63174483,64100297,65022300,65938265,66845635,67743052,68626337,69496513,70363511,71241080,72137546,73058638,73997128,74932641
Tuvalu,TUV,"Population, total",SP.POP.TOTL,9419,9471,9530,9590,9646,9694,9732,9764,9788,9808,9827,9844,9860,9876
Tanzania,TZA,"Population, total",SP.POP.TOTL,34020512,34895398,35806497,36760831,37765139,38824384,39942347,41119693,42353790,43639752,44973330,46354607,47783107,49253126
Uganda,UGA,"Population, total",SP.POP.TOTL,24275641,25088033,25943441,26838428,27766986,28724869,29711397,30728747,31778799,32864328,33987213,35148064,36345860,37578876
Ukraine,UKR,"Population, total",SP.POP.TOTL,49175848,48683865,48202500,47812950,47451600,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2165182876,2186496226,2206879568,2226514207,2245744730,2264763992,2283242974,2300791118,2318342943,2336270149,2354056585,2371969330,2390210774,2408656292
Uruguay,URY,"Population, total",SP.POP.TOTL,3320841,3326762,3327500,3325411,3323822,3325155,3330217,3338384,3348898,3360431,3371982,3383486,3395253,3407062
United States,USA,"Population, total",SP.POP.TOTL,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326295,311582564,313873685,316128839
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30241100
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,107897,107989,108150,108353,108562,108749,108908,109045,109158,109249,109316,109357,109373,109373
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,24407553,24870441,25333622,25797219,26261326,26725897,27190882,27655937,28120312,28583040,29043283,29500625,29954782,30405207
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,108639,108386,108208,108085,107950,107863,107700,107423,107091,106707,106267,105784,105275,104737
Vietnam,VNM,"Population, total",SP.POP.TOTL,77630900,78621000,79538700,80468400,81437700,82393500,83313000,84221100,85122300,86025000,86932500,87840000,88772900,89708900
Vanuatu,VUT,"Population, total",SP.POP.TOTL,185058,189285,193950,198952,204135,209375,214654,220001,225398,230833,236299,241778,247262,252763
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3596688,3702218,3811102,3927051,4046901,4169506
World,WLD,"Population, total",SP.POP.TOTL,6102001950,6180015757,6257804216,6335086088,6412516968,6490176815,6567959806,6645716553,6724646992,6803742004,6883512372,6964638027,7043105591,7124543962
Samoa,WSM,"Population, total",SP.POP.TOTL,174614,175567,176592,177677,178794,179928,181073,182240,183444,184704,186029,187429,188889,190372
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,17522537,18029989,18551068,19081306,19612696,20139661,20661714,21182162,21703571,22229625,22763008,23304206,23852409,24407381
South Africa,ZAF,"Population, total",SP.POP.TOTL,44000000,44909738,45808736,46409243,47019452,47639556,48269753,48910248,49561256,50222996,50895698,51579599,52274945,52981991
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,46949244,48167045,49516960,50972323,52487293,54028003,55590838,57187942,58819038,60486276,62191161,63931512,65705093,67513677
Zambia,ZMB,"Population, total",SP.POP.TOTL,10100981,10362137,10625423,10894519,11174650,11470022,11781612,12109620,12456527,12825031,13216985,13633796,14075099,14538640
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,12503652,12586763,12640922,12673103,12693047,12710589,12724308,12740160,12784041,12888918,13076978,13358738,13724317,14149648
